#,----------------------------------,WARNING,----------------------------------------,
#,Some,of,the,data
#,may,not,have,received
#,as,provisional,and,are
#,condition,that,neither,the
#,for,any,damages,resulting
#,,,,
#,Additional,info:,https://help.waterdata.usgs.gov/policies/provisional-data-statement,
#,,,,
#,File-format,description:,https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,
#,Automated-retrieval,info:,https://help.waterdata.usgs.gov/faq/automated-retrievals,
#,,,,
#,Contact:,gs-w_support_nwisweb@usgs.gov,,
#,retrieved:,2/5/2019,18:48:36,EST
#,,,,
#,Data,for,the,following
#,USGS,11179000,ALAMEDA,C
#,-----------------------------------------------------------------------------------,,,
#,,,,
#,Data,provided,for,site
#,TS,parameter,statistic,Description
#,9032,60,3,Discharge
#,,,,
#,Data-value,qualification,codes,included
#,,,,
#,A,Approved,for,publication
#,P,Provisional,data,subject
#,e,Value,has,been
#,,,,
agency_cd,Station,Date,Discharge_cfs,Data_Qualification
USGS,11179000,9/26/1969,41,A
USGS,11179000,9/27/1969,38,A
USGS,11179000,9/28/1969,39,A
USGS,11179000,9/29/1969,44,A
USGS,11179000,9/30/1969,38,A
USGS,11179000,10/1/1969,38,A
USGS,11179000,10/2/1969,41,A
USGS,11179000,10/3/1969,41,A
USGS,11179000,10/4/1969,20,A
USGS,11179000,10/5/1969,21,A
USGS,11179000,10/6/1969,21,A
USGS,11179000,10/7/1969,17,A
USGS,11179000,10/8/1969,36,A
USGS,11179000,10/9/1969,40,A
USGS,11179000,10/10/1969,42,A
USGS,11179000,10/11/1969,39,A
USGS,11179000,10/12/1969,44,A
USGS,11179000,10/13/1969,50,A
USGS,11179000,10/14/1969,45,A
USGS,11179000,10/15/1969,54,A
USGS,11179000,10/16/1969,75,A
USGS,11179000,10/17/1969,52,A
USGS,11179000,10/18/1969,35,A
USGS,11179000,10/19/1969,25,A
USGS,11179000,10/20/1969,29,A
USGS,11179000,10/21/1969,35,A
USGS,11179000,10/22/1969,46,A
USGS,11179000,10/23/1969,48,A
USGS,11179000,10/24/1969,48,A
USGS,11179000,10/25/1969,45,A
USGS,11179000,10/26/1969,37,A
USGS,11179000,10/27/1969,42,A
USGS,11179000,10/28/1969,50,A
USGS,11179000,10/29/1969,50,A
USGS,11179000,10/30/1969,49,A
USGS,11179000,10/31/1969,47,A
USGS,11179000,11/1/1969,35,A
USGS,11179000,11/2/1969,36,A
USGS,11179000,11/3/1969,54,A
USGS,11179000,11/4/1969,45,A
USGS,11179000,11/5/1969,40,A
USGS,11179000,11/6/1969,54,A
USGS,11179000,11/7/1969,41,A
USGS,11179000,11/8/1969,33,A
USGS,11179000,11/9/1969,23,A
USGS,11179000,11/10/1969,18,A
USGS,11179000,11/11/1969,16,A
USGS,11179000,11/12/1969,14,A
USGS,11179000,11/13/1969,14,A
USGS,11179000,11/14/1969,11,A
USGS,11179000,11/15/1969,12,A
USGS,11179000,11/16/1969,16,A
USGS,11179000,11/17/1969,26,A
USGS,11179000,11/18/1969,19,A
USGS,11179000,11/19/1969,15,A
USGS,11179000,11/20/1969,14,A
USGS,11179000,11/21/1969,14,A
USGS,11179000,11/22/1969,14,A
USGS,11179000,11/23/1969,13,A
USGS,11179000,11/24/1969,12,A
USGS,11179000,11/25/1969,12,A
USGS,11179000,11/26/1969,12,A
USGS,11179000,11/27/1969,12,A
USGS,11179000,11/28/1969,21,A
USGS,11179000,11/29/1969,18,A
USGS,11179000,11/30/1969,30,A
USGS,11179000,12/1/1969,36,A
USGS,11179000,12/2/1969,33,A
USGS,11179000,12/3/1969,31,A
USGS,11179000,12/4/1969,28,A
USGS,11179000,12/5/1969,36,A
USGS,11179000,12/6/1969,50,A
USGS,11179000,12/7/1969,58,A
USGS,11179000,12/8/1969,60,A
USGS,11179000,12/9/1969,65,A
USGS,11179000,12/10/1969,53,A
USGS,11179000,12/11/1969,52,A
USGS,11179000,12/12/1969,50,A
USGS,11179000,12/13/1969,52,A
USGS,11179000,12/14/1969,49,A
USGS,11179000,12/15/1969,49,A
USGS,11179000,12/16/1969,47,A
USGS,11179000,12/17/1969,47,A
USGS,11179000,12/18/1969,48,A
USGS,11179000,12/19/1969,55,A
USGS,11179000,12/20/1969,106,A
USGS,11179000,12/21/1969,121,A
USGS,11179000,12/22/1969,108,A
USGS,11179000,12/23/1969,29,A
USGS,11179000,12/24/1969,48,A
USGS,11179000,12/25/1969,77,A
USGS,11179000,12/26/1969,61,A
USGS,11179000,12/27/1969,25,A
USGS,11179000,12/28/1969,18,A
USGS,11179000,12/29/1969,17,A
USGS,11179000,12/30/1969,17,A
USGS,11179000,12/31/1969,38,A
USGS,11179000,1/1/1970,43,A
USGS,11179000,1/2/1970,45,A
USGS,11179000,1/3/1970,48,A
USGS,11179000,1/4/1970,55,A
USGS,11179000,1/5/1970,47,A
USGS,11179000,1/6/1970,35,A
USGS,11179000,1/7/1970,33,A
USGS,11179000,1/8/1970,32,A
USGS,11179000,1/9/1970,53,A
USGS,11179000,1/10/1970,75,A
USGS,11179000,1/11/1970,68,A
USGS,11179000,1/12/1970,66,A
USGS,11179000,1/13/1970,32,A
USGS,11179000,1/14/1970,515,A
USGS,11179000,1/15/1970,262,A
USGS,11179000,1/16/1970,1080,A
USGS,11179000,1/17/1970,615,A
USGS,11179000,1/18/1970,243,A
USGS,11179000,1/19/1970,127,A
USGS,11179000,1/20/1970,116,A
USGS,11179000,1/21/1970,3920,A
USGS,11179000,1/22/1970,878,A
USGS,11179000,1/23/1970,317,A
USGS,11179000,1/24/1970,1160,A
USGS,11179000,1/25/1970,442,A
USGS,11179000,1/26/1970,242,A
USGS,11179000,1/27/1970,397,A
USGS,11179000,1/28/1970,238,A
USGS,11179000,1/29/1970,146,A
USGS,11179000,1/30/1970,107,A
USGS,11179000,1/31/1970,94,A
USGS,11179000,2/1/1970,88,A
USGS,11179000,2/2/1970,73,A
USGS,11179000,2/3/1970,57,A
USGS,11179000,2/4/1970,56,A
USGS,11179000,2/5/1970,54,A
USGS,11179000,2/6/1970,49,A
USGS,11179000,2/7/1970,48,A
USGS,11179000,2/8/1970,52,A
USGS,11179000,2/9/1970,51,A
USGS,11179000,2/10/1970,44,A
USGS,11179000,2/11/1970,38,A
USGS,11179000,2/12/1970,48,A
USGS,11179000,2/13/1970,179,A
USGS,11179000,2/14/1970,176,A
USGS,11179000,2/15/1970,70,A
USGS,11179000,2/16/1970,49,A
USGS,11179000,2/17/1970,220,A
USGS,11179000,2/18/1970,92,A
USGS,11179000,2/19/1970,61,A
USGS,11179000,2/20/1970,51,A
USGS,11179000,2/21/1970,46,A
USGS,11179000,2/22/1970,45,A
USGS,11179000,2/23/1970,42,A
USGS,11179000,2/24/1970,40,A
USGS,11179000,2/25/1970,35,A
USGS,11179000,2/26/1970,37,A
USGS,11179000,2/27/1970,35,A
USGS,11179000,2/28/1970,43,A
USGS,11179000,3/1/1970,237,A
USGS,11179000,3/2/1970,328,A
USGS,11179000,3/3/1970,333,A
USGS,11179000,3/4/1970,796,A
USGS,11179000,3/5/1970,789,A
USGS,11179000,3/6/1970,470,A
USGS,11179000,3/7/1970,332,A
USGS,11179000,3/8/1970,243,A
USGS,11179000,3/9/1970,191,A
USGS,11179000,3/10/1970,166,A
USGS,11179000,3/11/1970,134,A
USGS,11179000,3/12/1970,174,A
USGS,11179000,3/13/1970,154,A
USGS,11179000,3/14/1970,85,A
USGS,11179000,3/15/1970,80,A
USGS,11179000,3/16/1970,78,A
USGS,11179000,3/17/1970,71,A
USGS,11179000,3/18/1970,62,A
USGS,11179000,3/19/1970,60,A
USGS,11179000,3/20/1970,58,A
USGS,11179000,3/21/1970,56,A
USGS,11179000,3/22/1970,58,A
USGS,11179000,3/23/1970,50,A
USGS,11179000,3/24/1970,41,A
USGS,11179000,3/25/1970,38,A
USGS,11179000,3/26/1970,33,A
USGS,11179000,3/27/1970,28,A
USGS,11179000,3/28/1970,28,A
USGS,11179000,3/29/1970,37,A
USGS,11179000,3/30/1970,34,A
USGS,11179000,3/31/1970,24,A
USGS,11179000,4/1/1970,24,A
USGS,11179000,4/2/1970,18,A
USGS,11179000,4/3/1970,23,A
USGS,11179000,4/4/1970,23,A
USGS,11179000,4/5/1970,42,A
USGS,11179000,4/6/1970,45,A
USGS,11179000,4/7/1970,39,A
USGS,11179000,4/8/1970,40,A
USGS,11179000,4/9/1970,46,A
USGS,11179000,4/10/1970,55,A
USGS,11179000,4/11/1970,56,A
USGS,11179000,4/12/1970,65,A
USGS,11179000,4/13/1970,67,A
USGS,11179000,4/14/1970,54,A
USGS,11179000,4/15/1970,46,A
USGS,11179000,4/16/1970,43,A
USGS,11179000,4/17/1970,32,A
USGS,11179000,4/18/1970,52,A
USGS,11179000,4/19/1970,79,A
USGS,11179000,4/20/1970,68,A
USGS,11179000,4/21/1970,57,A
USGS,11179000,4/22/1970,53,A
USGS,11179000,4/23/1970,55,A
USGS,11179000,4/24/1970,56,A
USGS,11179000,4/25/1970,59,A
USGS,11179000,4/26/1970,70,A
USGS,11179000,4/27/1970,68,A
USGS,11179000,4/28/1970,57,A
USGS,11179000,4/29/1970,52,A
USGS,11179000,4/30/1970,53,A
USGS,11179000,5/1/1970,56,A
USGS,11179000,5/2/1970,60,A
USGS,11179000,5/3/1970,66,A
USGS,11179000,5/4/1970,52,A
USGS,11179000,5/5/1970,34,A
USGS,11179000,5/6/1970,34,A
USGS,11179000,5/7/1970,31,A
USGS,11179000,5/8/1970,27,A
USGS,11179000,5/9/1970,27,A
USGS,11179000,5/10/1970,32,A
USGS,11179000,5/11/1970,37,A
USGS,11179000,5/12/1970,27,A
USGS,11179000,5/13/1970,24,A
USGS,11179000,5/14/1970,22,A
USGS,11179000,5/15/1970,23,A
USGS,11179000,5/16/1970,29,A
USGS,11179000,5/17/1970,38,A
USGS,11179000,5/18/1970,38,A
USGS,11179000,5/19/1970,34,A
USGS,11179000,5/20/1970,36,A
USGS,11179000,5/21/1970,32,A
USGS,11179000,5/22/1970,28,A
USGS,11179000,5/23/1970,32,A
USGS,11179000,5/24/1970,45,A
USGS,11179000,5/25/1970,48,A
USGS,11179000,5/26/1970,43,A
USGS,11179000,5/27/1970,40,A
USGS,11179000,5/28/1970,39,A
USGS,11179000,5/29/1970,42,A
USGS,11179000,5/30/1970,47,A
USGS,11179000,5/31/1970,56,A
USGS,11179000,6/1/1970,48,A
USGS,11179000,6/2/1970,42,A
USGS,11179000,6/3/1970,44,A
USGS,11179000,6/4/1970,44,A
USGS,11179000,6/5/1970,42,A
USGS,11179000,6/6/1970,34,A
USGS,11179000,6/7/1970,38,A
USGS,11179000,6/8/1970,38,A
USGS,11179000,6/9/1970,41,A
USGS,11179000,6/10/1970,35,A
USGS,11179000,6/11/1970,30,A
USGS,11179000,6/12/1970,28,A
USGS,11179000,6/13/1970,28,A
USGS,11179000,6/14/1970,31,A
USGS,11179000,6/15/1970,29,A
USGS,11179000,6/16/1970,25,A
USGS,11179000,6/17/1970,25,A
USGS,11179000,6/18/1970,29,A
USGS,11179000,6/19/1970,26,A
USGS,11179000,6/20/1970,24,A
USGS,11179000,6/21/1970,36,A
USGS,11179000,6/22/1970,36,A
USGS,11179000,6/23/1970,33,A
USGS,11179000,6/24/1970,40,A
USGS,11179000,6/25/1970,43,A
USGS,11179000,6/26/1970,46,A
USGS,11179000,6/27/1970,45,A
USGS,11179000,6/28/1970,51,A
USGS,11179000,6/29/1970,48,A
USGS,11179000,6/30/1970,37,A
USGS,11179000,7/1/1970,33,A
USGS,11179000,7/2/1970,32,A
USGS,11179000,7/3/1970,29,A
USGS,11179000,7/4/1970,29,A
USGS,11179000,7/5/1970,31,A
USGS,11179000,7/6/1970,32,A
USGS,11179000,7/7/1970,33,A
USGS,11179000,7/8/1970,32,A
USGS,11179000,7/9/1970,30,A
USGS,11179000,7/10/1970,30,A
USGS,11179000,7/11/1970,30,A
USGS,11179000,7/12/1970,32,A
USGS,11179000,7/13/1970,35,A
USGS,11179000,7/14/1970,33,A
USGS,11179000,7/15/1970,39,A
USGS,11179000,7/16/1970,45,A
USGS,11179000,7/17/1970,44,A
USGS,11179000,7/18/1970,46,A
USGS,11179000,7/19/1970,51,A
USGS,11179000,7/20/1970,50,A
USGS,11179000,7/21/1970,42,A
USGS,11179000,7/22/1970,42,A
USGS,11179000,7/23/1970,42,A
USGS,11179000,7/24/1970,37,A
USGS,11179000,7/25/1970,37,A
USGS,11179000,7/26/1970,46,A
USGS,11179000,7/27/1970,46,A
USGS,11179000,7/28/1970,23,A
USGS,11179000,7/29/1970,44,A
USGS,11179000,7/30/1970,42,A
USGS,11179000,7/31/1970,42,A
USGS,11179000,8/1/1970,39,A
USGS,11179000,8/2/1970,41,A
USGS,11179000,8/3/1970,41,A
USGS,11179000,8/4/1970,42,A
USGS,11179000,8/5/1970,39,A
USGS,11179000,8/6/1970,37,A
USGS,11179000,8/7/1970,35,A
USGS,11179000,8/8/1970,37,A
USGS,11179000,8/9/1970,37,A
USGS,11179000,8/10/1970,38,A
USGS,11179000,8/11/1970,37,A
USGS,11179000,8/12/1970,37,A
USGS,11179000,8/13/1970,37,A
USGS,11179000,8/14/1970,40,A
USGS,11179000,8/15/1970,39,A
USGS,11179000,8/16/1970,37,A
USGS,11179000,8/17/1970,37,A
USGS,11179000,8/18/1970,36,A
USGS,11179000,8/19/1970,33,A
USGS,11179000,8/20/1970,34,A
USGS,11179000,8/21/1970,35,A
USGS,11179000,8/22/1970,37,A
USGS,11179000,8/23/1970,37,A
USGS,11179000,8/24/1970,35,A
USGS,11179000,8/25/1970,36,A
USGS,11179000,8/26/1970,36,A
USGS,11179000,8/27/1970,36,A
USGS,11179000,8/28/1970,36,A
USGS,11179000,8/29/1970,38,A
USGS,11179000,8/30/1970,39,A
USGS,11179000,8/31/1970,34,A
USGS,11179000,9/1/1970,8.4,A
USGS,11179000,9/2/1970,5.2,A
USGS,11179000,9/3/1970,15,A
USGS,11179000,9/4/1970,54,A
USGS,11179000,9/5/1970,54,A
USGS,11179000,9/6/1970,33,A
USGS,11179000,9/7/1970,13,A
USGS,11179000,9/8/1970,26,A
USGS,11179000,9/9/1970,62,A
USGS,11179000,9/10/1970,50,A
USGS,11179000,9/11/1970,45,A
USGS,11179000,9/12/1970,42,A
USGS,11179000,9/13/1970,42,A
USGS,11179000,9/14/1970,35,A
USGS,11179000,9/15/1970,8.3,A
USGS,11179000,9/16/1970,22,A
USGS,11179000,9/17/1970,30,A
USGS,11179000,9/18/1970,32,A
USGS,11179000,9/19/1970,39,A
USGS,11179000,9/20/1970,45,A
USGS,11179000,9/21/1970,44,A
USGS,11179000,9/22/1970,44,A
USGS,11179000,9/23/1970,42,A
USGS,11179000,9/24/1970,47,A
USGS,11179000,9/25/1970,63,A
USGS,11179000,9/26/1970,22,A
USGS,11179000,9/27/1970,16,A
USGS,11179000,9/28/1970,22,A
USGS,11179000,9/29/1970,24,A
USGS,11179000,9/30/1970,34,A
USGS,11179000,10/1/1970,38,A
USGS,11179000,10/2/1970,40,A
USGS,11179000,10/3/1970,42,A
USGS,11179000,10/4/1970,45,A
USGS,11179000,10/5/1970,46,A
USGS,11179000,10/6/1970,46,A
USGS,11179000,10/7/1970,47,A
USGS,11179000,10/8/1970,42,A
USGS,11179000,10/9/1970,34,A
USGS,11179000,10/10/1970,32,A
USGS,11179000,10/11/1970,33,A
USGS,11179000,10/12/1970,32,A
USGS,11179000,10/13/1970,33,A
USGS,11179000,10/14/1970,33,A
USGS,11179000,10/15/1970,33,A
USGS,11179000,10/16/1970,32,A
USGS,11179000,10/17/1970,28,A
USGS,11179000,10/18/1970,30,A
USGS,11179000,10/19/1970,32,A
USGS,11179000,10/20/1970,38,A
USGS,11179000,10/21/1970,42,A
USGS,11179000,10/22/1970,39,A
USGS,11179000,10/23/1970,42,A
USGS,11179000,10/24/1970,46,A
USGS,11179000,10/25/1970,26,A
USGS,11179000,10/26/1970,18,A
USGS,11179000,10/27/1970,16,A
USGS,11179000,10/28/1970,22,A
USGS,11179000,10/29/1970,39,A
USGS,11179000,10/30/1970,41,A
USGS,11179000,10/31/1970,43,A
USGS,11179000,11/1/1970,40,A
USGS,11179000,11/2/1970,32,A
USGS,11179000,11/3/1970,19,A
USGS,11179000,11/4/1970,49,A
USGS,11179000,11/5/1970,68,A
USGS,11179000,11/6/1970,57,A
USGS,11179000,11/7/1970,52,A
USGS,11179000,11/8/1970,28,A
USGS,11179000,11/9/1970,19,A
USGS,11179000,11/10/1970,35,A
USGS,11179000,11/11/1970,75,A
USGS,11179000,11/12/1970,65,A
USGS,11179000,11/13/1970,46,A
USGS,11179000,11/14/1970,63,A
USGS,11179000,11/15/1970,62,A
USGS,11179000,11/16/1970,60,A
